"","","","","DAILY FLOW BY HOUR",""
"","","","","",""
"","SITE NO:","41 - Mayfield Rd N/Bound","","",""
"","Date:","29/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","0","0","5","5"
"","01.00-01.59","0","0","2","2"
"","02.00-02.59","0","0","0","0"
"","03.00-03.59","0","0","1","1"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","0","0","1","1"
"","06.00-06.59","0","0","0","0"
"","07.00-07.59","0","0","4","4"
"","08.00-08.59","1","13","4","5"
"","09.00-09.59","5","26","16","21"
"","10.00-10.59","7","23","39","46"
"","11.00-11.59","5","24","29","34"
"","12.00-12.59","8","23","23","31"
"","13.00-13.59","9","22","20","29"
"","14.00-14.59","14","25","29","43"
"","15.00-15.59","4","22","22","26"
"","16.00-16.59","13","23","30","43"
"","17.00-17.59","12","22","47","59"
"","18.00-18.59","6","24","17","23"
"","19.00-19.59","4","22","16","20"
"","20.00-20.59","1","20","8","9"
"","21.00-21.59","0","0","4","4"
"","22.00-22.59","0","0","0","0"
"","23.00-23.59","1","22","5","6"
"","Total","90","","322","412"
"","","","","",""
"","Date:","30/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","0","0","0","0"
"","01.00-01.59","0","0","0","0"
"","02.00-02.59","0","0","0","0"
"","03.00-03.59","0","0","0","0"
"","04.00-04.59","0","0","1","1"
"","05.00-05.59","3","25","4","7"
"","06.00-06.59","4","29","5","9"
"","07.00-07.59","12","22","45","57"
"","08.00-08.59","61","24","95","156"
"","09.00-09.59","19","21","35","54"
"","10.00-10.59","22","24","46","68"
"","11.00-11.59","26","23","46","72"
"","12.00-12.59","37","26","58","95"
"","13.00-13.59","32","27","76","108"
"","14.00-14.59","22","25","52","74"
"","15.00-15.59","56","25","95","151"
"","16.00-16.59","92","26","140","232"
"","17.00-17.59","157","24","228","385"
"","18.00-18.59","56","24","85","141"
"","19.00-19.59","17","23","52","69"
"","20.00-20.59","10","24","18","28"
"","21.00-21.59","6","21","17","23"
"","22.00-22.59","2","22","8","10"
"","23.00-23.59","2","22","4","6"
"","Total","636","","1110","1746"
"","","","","",""
"","","","","",""
"","Date:","31/01/17","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","3","25","1","4"
"","01.00-01.59","0","0","0","0"
"","02.00-02.59","0","0","1","1"
"","03.00-03.59","0","0","0","0"
"","04.00-04.59","0","0","1","1"
"","05.00-05.59","0","0","3","3"
"","06.00-06.59","7","29","7","14"
"","07.00-07.59","28","24","47","75"
"","08.00-08.59","63","25","126","189"
"","09.00-09.59","33","24","44","77"
"","10.00-10.59","13","26","42","55"
"","11.00-11.59","26","25","42","68"
"","12.00-12.59","31","29","37","68"
"","13.00-13.59","51","23","79","130"
"","14.00-14.59","27","25","61","88"
"","15.00-15.59","44","26","86","130"
"","16.00-16.59","65","26","103","168"
"","17.00-17.59","132","24","211","343"
"","18.00-18.59","43","24","88","131"
"","19.00-19.59","36","24","59","95"
"","20.00-20.59","9","20","35","44"
"","21.00-21.59","7","24","12","19"
"","22.00-22.59","8","23","8","16"
"","23.00-23.59","1","13","3","4"
"","Total","627","","1096","1723"
"","","","","",""
"","Date:","42767","","",""
"","Direction:"," ","","",""
"","","","","",""
"","Hour","P/C","P/C Kph","Ped","Total"
"","00.00-00.59","1","29","2","3"
"","01.00-01.59","1","16","1","2"
"","02.00-02.59","0","0","0","0"
"","03.00-03.59","0","0","1","1"
"","04.00-04.59","0","0","0","0"
"","05.00-05.59","3","27","3","6"
"","06.00-06.59","7","24","3","10"
"","07.00-07.59","18","26","40","58"
"","08.00-08.59","49","23","132","181"
"","09.00-09.59","25","24","44","69"
"","10.00-10.59","33","25","59","92"
"","11.00-11.59","24","25","60","84"
"","12.00-12.59","43","25","74","117"
"","13.00-13.59","49","26","79","128"
"","14.00-14.59","17","23","53","70"
"","15.00-15.59","45","24","67","112"
"","16.00-16.59","51","24","82","133"
"","17.00-17.59","86","23","98","184"
"","18.00-18.59","40","24","65","105"
"","19.00-19.59","13","24","51","64"
"","20.00-20.59","8","23","26","34"
"","21.00-21.59","8","25","13","21"
"","22.00-22.59","6","20","8","14"
"","23.00-23.59","3","24","2","5"
"","Total","530","","963","1493"
"","","","","",""
